,Y_Coordina,X_Coordina,Caffeine,Protriptyline,Sucralose,Atrazine + TPs,Metolachlor + TPs,"2,4-D",Benzothiazole,% Caffeine,% Protriptyline,% Sucralose,% Atrazine + TPs,% Metolachlor + TPs,"% 2,4-D",% Benzothiazole,Total micropollutans,Ratio_Total_micropollutants
Lake 164,41.362999,-73.580002,4.598,60.3085,69.219,3.1345,8.686,235.13,1653.5975,0.155058758,0.657864536,0.391165329,0.055718319,0.058975126,1.435296893,3.836511265,2034.6735,1.855342426
Lake 100,43.110599,-74.4133,0,59.109,0,3.294,8.86875,0,308.26775,0,0.644780003,0,0.058553562,0.060215939,0,0.715211952,379.5395,0.34608783
Lake 89,43.235401,-76.222702,38.4065,55.943,0,89.32525,36.9655,6.965,752.42525,1.295185774,0.610244256,0,1.587829875,0.250983768,0.042516237,1.745701689,980.0305,0.893653043
Lake 238,41.696098,-74.627998,15.1105,0,162.804,3.534,10.146,56.7905,1038.2565,0.509572719,0,0.920026008,0.06281976,0.068888053,0.346664518,2.408858721,1286.6415,1.173240111
Lake 90,42.5881,-75.651001,14.6365,0,0,29.8422875,8.78275,0,269.6285,0.493587975,0,0,0.530471234,0.059632027,0,0.625565035,322.8900375,0.294431311
Lake 239,41.4664,-73.539597,80.651,0,1502.6725,18.591,8.65,38.1735,261.5605,2.719800759,0,8.49179247,0.330470334,0.058730697,0.233021333,0.606846469,1910.2985,1.74192953
Lake 52,42.4072,-73.414703,0,65.495,0,29.3165,9.7715,0,363.214,0,0.714440548,0,0.521124929,0.066345319,0,0.842692737,467.797,0.426566533
Lake 262,43.8395996,-74.6376038,0,0,0,10.33875,10.7375,0,271.565,0,0,0,0.183779795,0.072904146,0,0.630057908,292.64125,0.266848576
Lake 225,41.438801,-73.807503,91.862,113.527,240.293,2.565,7.6865,0,771.949,3.097870297,1.238389068,1.357926154,0.045594987,0.052188844,0,1.790998737,1227.8825,1.119659983
Lake 104,43.016701,-73.741501,12.4,0,145.35,8.2685,173.1885,32.0625,198.9295,0.418166289,0,0.821391245,0.146979396,1.175893799,0.195718142,0.461536298,570.199,0.519943075
Lake 34,43.830651,-73.755524,0,68.92125,0,0,8.53225,0,416.11625,0,0.751815186,0,0,0.057931213,0,0.965431238,493.56975,0.450067737
Lake 92,42.669266,-76.896473,51.0919,96.0565,78.34733333,191.5144667,260.5359583,8.397,378.878,1.722976633,1.047815229,0.442750696,3.404327351,1.768954739,0.051257551,0.87903478,1064.821158,0.970970463
Lake 260,41.4841,-73.749199,0,64.97125,213.23425,10.8475,7.135,0,280.99625,0,0.708727314,1.205013733,0.192823245,0.048444338,0,0.65193935,577.18425,0.526312662
Lake 117,44.226898,-74.826599,0,55.8395,168.26675,3.38725,8.4465,0,294.947,0,0.609115245,0.950896699,0.060211158,0.057348998,0,0.684306482,530.887,0.484095937
Lake 25,42.687199,-78.034798,0,0,0,458.2668,1980.4923,5.2695,145.2729,0,0,0,8.146069737,13.44690101,0.032166448,0.337047629,2589.3015,2.361086891
Lake 178,44.2798,-75.775002,56.291,83.503,0,6.991,24.7055,25.7655,612.8785,1.898306339,0.91087761,0,0.124270782,0.16774234,0.157279556,1.421939299,810.1345,0.738731255
Lake 139,42.8451,-76.350304,54.24325,76.489,0,132.26175,159.521,0,176.509125,1.829249885,0.834366639,0,2.351061519,1.083095903,0,0.409518789,599.024125,0.546227625
Lake 223,42.294399,-73.8069,257.8065,61.0645,65.732,129.754,1205.7825,999.028,195.193,8.69403125,0.666111227,0.371459851,2.306484198,8.186872483,6.098336172,0.452867245,2914.3605,2.657495997
Lake 190,42.388802,-77.474403,24.3155,53.4005,0,138.172,90.843,0,239.1595,0.819993743,0.582509847,0,2.45612108,0.616794535,0,0.554873913,545.8905,0.497777066
Lake 153,41.910198,-75.228996,36.14,0,0,3.5245,7.32975,0,389.13425,1.218752395,0,0,0.06265089,0.049766628,0,0.902830304,436.1285,0.397689216
Lake 212,42.772301,-76.146864,33.6035,0,0,82.48155556,26.77138889,0,302.365,1.133213783,0,0,1.466177571,0.181769056,0,0.701516983,445.2214445,0.405980731
Lake 213,41.971548,-73.673599,49.7195,0,0,24.746,749.2795,88.769,201.6635,1.676695067,0,0,0.439880528,5.087365027,0.541869901,0.46787945,1114.1775,1.01597666
Lake 75,43.210201,-73.463203,0,72.12,76.3,19.741,10.602,555.5895,238.854,0,0.786708181,0.431180956,0.350912531,0.071984145,3.391468051,0.554165123,973.2065,0.887430494
Lake 259,42.193635,-77.251116,0,0,0,29.835,566.297,0,611.282,0,0,0,0.530341693,3.844973141,0,1.418235259,1207.414,1.100995526
Lake 261,42.269001,-75.727997,5.9935,54.523,0,12.464,27.262,0,307.2295,0.202119327,0.594754439,0,0.221557864,0.185100147,0,0.712803108,407.472,0.371558429
Lake 203,41.2939,-73.663101,15.85325,0,876.969,11.56025,8.23225,0,245.968,0.534620543,0,4.955862805,0.205492963,0.05589431,0,0.570670313,1158.58275,1.056468141
Lake 234,42.776401,-76.1352,21.312,1402.35,145.0106667,60.77039683,595.9522778,37.438,350.6710556,0.718706448,15.29728532,0.81947363,1.080243846,4.046322869,0.228531642,0.813591854,2613.504397,2.383156604
Lake 21,42.866501,-75.758598,8.1675,58.0165,0,13.78675,19.58225,0,179.45625,0.27543332,0.632862662,0,0.245070834,0.132957133,0,0.416356414,279.00925,0.254418067
Lake 251,41.650299,-74.220398,85.2545,0,0,3.25025,8.3,0,640.2665,2.875044994,0,0,0.05777587,0.056354311,0,1.485482193,737.07125,0.672107619
Lake 192,41.8367,-74.900497,14.9225,0,0,1.5,11.3185,0,960.258,0.503232779,0,0,0.026663735,0.076848948,0,2.227894415,987.999,0.90091922
Lake 145,43.1371,-74.495499,45.6005,78.86875,0,12.1625,20.0175,0,243.6975,1.537789668,0.860325718,0,0.216198453,0.135912339,0,0.565402526,400.34675,0.365061181
,,,2965.327506,9167.312833,17695.58671,5625.618424,14728.24333,16381.97652,43101.59376,100,100,100,100,100,100,100,109665.6591,100
